Linux 5.15.30-2-pve (superserver2) 	02/01/2024 	_x86_64_	(32 CPU)

06:27:42 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:22 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      10      5.43      0.00      0.00     19.72      0.00     74.85
06:28:22 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      15      0.00      0.00      0.20      0.00      0.00     99.80
06:28:22 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      18      0.00      0.00      0.20      0.00      0.00     99.80
06:28:22 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      20      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      23      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      24      0.00      0.00      0.20      0.00      0.00     99.80
06:28:22 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      29      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
06:28:22 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

06:28:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:28:27 AM     all      0.19      0.00      0.04      0.36      0.00     99.41
06:28:27 AM       0      0.20      0.00      0.40      0.00      0.00     99.40
06:28:27 AM       1      0.00      0.00      0.20      0.00      0.00     99.80
06:28:27 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM       3      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM       4      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM       7      0.00      0.00      0.20      0.00      0.00     99.80
06:28:27 AM       8      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM      10      5.41      0.00      0.20     10.62      0.00     83.77
06:28:27 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
06:28:27 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
