Timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
2024-01-21T00:37:00,31,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:05,all,1.1,0.0,0.21,1.27,0.0,97.42
2024-01-21T00:37:05,0,0.2,0.0,0.2,0.0,0.0,99.6
2024-01-21T00:37:05,1,0.2,0.0,0.6,0.0,0.0,99.2
2024-01-21T00:37:05,2,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,3,0.2,0.0,0.4,0.0,0.0,99.4
2024-01-21T00:37:05,4,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:05,5,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:05,6,0.0,0.0,0.2,0.6,0.0,99.2
2024-01-21T00:37:05,7,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,8,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:05,9,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,10,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:05,11,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,12,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:05,13,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,14,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,15,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,16,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,17,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,18,0.2,0.0,0.4,0.0,0.0,99.4
2024-01-21T00:37:05,19,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,20,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,21,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,22,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:05,23,0.6,0.0,0.8,0.0,0.0,98.59
2024-01-21T00:37:05,24,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,25,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:05,26,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,27,0.2,0.0,0.4,0.0,0.0,99.4
2024-01-21T00:37:05,28,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:05,29,33.33,0.0,0.8,40.16,0.0,25.7
2024-01-21T00:37:05,30,0.2,0.0,0.6,0.0,0.0,99.2
2024-01-21T00:37:05,31,0.2,0.0,0.4,0.0,0.0,99.4
2024-01-21T00:37:10,all,0.86,0.0,0.13,1.44,0.0,97.57
2024-01-21T00:37:10,0,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:10,1,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,2,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,3,0.2,0.0,0.4,0.6,0.0,98.8
2024-01-21T00:37:10,4,0.2,0.0,0.2,0.0,0.0,99.6
2024-01-21T00:37:10,5,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:10,6,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,7,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,8,0.2,0.0,0.0,0.0,0.0,99.8
2024-01-21T00:37:10,9,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:10,10,0.2,0.0,0.0,0.0,0.0,99.8
2024-01-21T00:37:10,11,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,12,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,13,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,14,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,15,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,16,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,17,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,18,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,19,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,20,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:10,21,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,22,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:10,23,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:10,24,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,25,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,26,0.2,0.0,0.0,0.0,0.0,99.8
2024-01-21T00:37:10,27,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,28,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:10,29,26.31,0.0,1.61,45.58,0.0,26.51
2024-01-21T00:37:10,30,0.0,0.0,0.6,0.0,0.0,99.4
2024-01-21T00:37:10,31,0.2,0.0,0.2,0.0,0.0,99.6
2024-01-21T00:37:15,all,0.81,0.0,0.12,1.57,0.0,97.5
2024-01-21T00:37:15,0,0.2,0.0,0.2,0.0,0.0,99.6
2024-01-21T00:37:15,1,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,2,0.0,0.0,0.6,0.0,0.0,99.4
2024-01-21T00:37:15,3,0.0,0.0,0.2,0.6,0.0,99.2
2024-01-21T00:37:15,4,0.2,0.0,0.2,0.0,0.0,99.6
2024-01-21T00:37:15,5,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,6,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,7,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,8,0.2,0.0,0.2,0.0,0.0,99.6
2024-01-21T00:37:15,9,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,10,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,11,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,12,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,13,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,14,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,15,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,16,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,17,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,18,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:15,19,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:15,20,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:15,21,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,22,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,23,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,24,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,25,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,26,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,27,0.2,0.0,0.6,0.0,0.0,99.2
2024-01-21T00:37:15,28,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:15,29,25.3,0.0,0.6,49.8,0.0,24.3
2024-01-21T00:37:15,30,0.0,0.0,0.2,0.0,0.0,99.8
2024-01-21T00:37:15,31,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:20,all,0.78,0.0,0.16,1.63,0.0,97.43
2024-01-21T00:37:20,0,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:20,1,0.2,0.0,0.6,0.0,0.0,99.2
2024-01-21T00:37:20,2,0.2,0.0,0.6,0.0,0.0,99.2
2024-01-21T00:37:20,3,0.2,0.0,0.0,0.4,0.0,99.4
2024-01-21T00:37:20,4,0.0,0.0,0.4,0.0,0.0,99.6
2024-01-21T00:37:20,5,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:20,6,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:20,7,0.0,0.0,0.0,0.0,0.0,100.0
2024-01-21T00:37:20,8,0.0,0.0,0.2,0.0,0.0,99.8
